step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
1,TRANSFER,2806.0,C1420196421,2806.0,0.0,C972765878,0.0,0.0,1,0
6,TRANSFER,10565.0,C777407608,10565.0,0.0,C1790657739,0.0,0.0,1,0
1,CASH_OUT,1277212.77,C467632528,1277212.77,0.0,C716083600,0.0,2444985.19,1,0
4,TRANSFER,2930418.44,C2047521920,2930418.44,0.0,C449261773,0.0,0.0,1,0
6,CASH_OUT,26768.5,C682812632,26768.5,0.0,C256417920,101976.0,128744.5,1,0
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1,0
6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1,0
1,CASH_OUT,181.0,C840083671,181.0,0.0,C38997010,21182.0,0.0,1,0
1,PAYMENT,5078.54,C1173504361,185.83,0.0,M1792381498,0.0,0.0,0,0
2,PAYMENT,1860.2,C1977189075,56541.0,54680.8,M1334391583,0.0,0.0,0,0
1,PAYMENT,6534.05,C1097069005,11301.0,4766.95,M1604342290,0.0,0.0,0,0
7,PAYMENT,18747.29,C271099719,0.0,0.0,M612958241,0.0,0.0,0,0
1,CASH_IN,26516.56,C1365790282,7716023.4,7742539.96,C1937962514,63127.8,8383.29,0,0
5,DEBIT,665.37,C1092170861,60311.0,59645.63,C2094777811,13707.11,14372.48,0,0
1,PAYMENT,4802.31,C424786033,0.0,0.0,M1545077099,0.0,0.0,0,0
1,PAYMENT,637.26,C836621476,54260.91,53623.65,M442465916,0.0,0.0,0,0
1,DEBIT,3584.21,C833240229,135496.0,131911.79,C1330106945,100614.05,24044.18,0,0
4,PAYMENT,196.76,C801783477,14554.0,14357.24,M1777030223,0.0,0.0,0,0
1,CASH_IN,131409.27,C1476235721,8491742.16,8623151.43,C1068824137,290276.03,265092.36,0,0
6,PAYMENT,37887.08,C839404033,344.0,0.0,M1725382189,0.0,0.0,0,0
7,PAYMENT,1724.87,C1881258837,0.0,0.0,M1612952911,0.0,0.0,0,0
1,PAYMENT,4402.86,C533415944,4469.0,66.14,M1919834117,0.0,0.0,0,0
